point,point_normalized,easting,northing,elevation,description,horizontal_datum,vertical_datum,coordinate_system,latitude,longitude,original_easting,original_northing,original_elevation,original_horizontal_datum,original_vertical_datum,conversion_method,conversion_status,validation_status,validation_flags,source_page,source_pdf
604,604,752831.4307,773359.4442,21.9291,"SET 1"" DIAMETER IRON PIPE WITH ALUMINUM CAP STAMPED ""JOHNSON ENGINEERING INC 604 LB642",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4610033276,-81.7045353942,752830.15,773359.12,23.12,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
605,605,752765.2806,773055.3246,22.7395,"SET PK NAIL & DISK STAMPED ""BM 25"" IN WEST FACE OF WOOD POWER POLE.",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4601670653,-81.7047397224,752764,773055,23.93,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10024,10024,745749.2772,769996.4163,19.4816,"SET MAG NAIL & DISK STAMPED ""BM 15"" IN NORTH FACE OF FACE CONCRETE POWER POLE",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4517942231,-81.7262045449,745748,769996,20.66,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10025,10025,746643.2749,770053.3729,20.7381,"SET MAG NAIL & DISK STAMPED ""BM 16"" IN EDGE OF PAVEMENT",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4519456584,-81.7234717988,746642,770053,21.92,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10026,10026,747585.2757,770108.3645,21.0465,"SET MAG NAIL & DISK STAMPED ""BM 17"" IN NORTH FACE OF WOOD POWER POLE",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4520913486,-81.720592344,747584,770108,22.23,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10027,10027,748705.2766,770170.3549,20.1049,"SET MAG NAIL & DISK STAMPED ""BM 18"" IN NORTH EDGE OF ASPHALT WALK",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4522551598,-81.7171688029,748704,770170,21.29,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10028,10028,749774.2772,770253.3463,20.643,"SET MAG NAIL & DISK STAMPED ""BM 19"" IN CONCRETE MITERED END SECTION",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.452476978,-81.7139009855,749773,770253,21.83,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10029,10029,750729.2777,770299.3389,21.6207,"SET PK NAIL & DISK STAMPED ""BM 20"" IN NORTH FACE OF CONCRETE POWER POLE",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4525976371,-81.7109818377,750728,770299,22.81,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10030,10030,751691.2782,770356.3317,20.141,"FOUND MAG NAIL & DISK STAMPED ""PCP LB6690 BM21"" IN NORTH FACE OF WOOD POWER POLE",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4527484562,-81.7080412131,751690,770356,21.33,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
10031,10031,752653.2783,770414.325,19.4291,"SET MAG NAIL & DISK STAMPED ""BM 22"" IN NORTH FACE OF WOOD POWER POLE",NAD 83,NAVD 1988,"Florida State Plane, West Zone",26.4529019671,-81.7051005757,752652,770414,20.62,,NGVD 1929,ncat,converted,ok,,18,Corkscrew Road Phase 2 - 90 Roadway Plans (02-2021).pdf
